Project_ID;Organization;Short_project_description;Year_technical_go_live;Organisation_profile;Business_domain;Development_method;Primary_programming_language;Development_class;Functional_size_FP;Actual_duration_months;Actual_cost_EUR;Actual_effort_hours;Defects_process;Defects_first_month;Stakeholder_satisfaction_process;Stakeholder Satisfaction - Product;Perceived_value_overall;Release_based_working;Once_only_project;Multi_application_release;Phased_project;Dependencies_with_other_applications;Single_application;Migration_project;Problems_with_external_supplier;Security_related_project;Package_of_the_shelf;Package_with_customization;Steady_heartbeat;Fixed_experienced_team;Many_team_changes_unexperienced_team;Legacy_application;Technology_driven_project;Rules_and_regulations_driven_project;Business_driven_project;Pilot_or_proof_of_concept
159;Bank A;Maintenance and new functionality release on an existing savings and loans application;2008;Banking;Savings & Loans;Plan-driven;3GL;New Development;135;4,74;79.611;;;;;;;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0
168;Bank A;Covered Bond;2009;Banking;Mortgages;Plan-driven;3GL;New Development;185;9,50;192.989;;;;;;;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0
169;Bank A;Agreements Packages;2009;Banking;Client and Account Management;Plan-driven;3GL;New Development;115;5,67;1.649.823;;;;;;;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0
175;Bank A;"maintenance and enhancement project on an existing mortgage appliaction; Enhance Goal Properties in Maintenance";2009;Banking;Mortgages;Plan-driven;3GL;New Development;72;9,33;311.866;;;;;;;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0
20;Bank B;New functionality with regard to SEPA DD on existing application (rules & regulations);2009;Banking;Payments;Plan-driven;COBOL;New Development;95;8,78;188.422;;;;;;;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
21;Bank B;New functionality with regard to SEPA DD on existing application (rules & regulations);2009;Banking;Payments;Plan-driven;COBOL;New Development;76;9,06;935.867;;;;;;;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
75;Bank B;Maintenance Savings OH2010-2;2011;Banking;Savings & Loans;Plan-driven;COBOL;New Development;327;11,74;866.434;;;;;;;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0
95;Bank B;Realization adaptation Assortiment;2010;Banking;Savings & Loans;Plan-driven;COBOL;New Development;25;1,70;26.812;;;;;;;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
330;Bank A;"Maintenance and enhancements project on an existing payments application; Security driven project; EBW Security upgrade";2011;Banking;Payments;Plan-driven;COBOL;New Development;74;16,00;560.000;;;;;;;0;1;0;0;0;1;0;0;1;0;0;0;0;0;1;1;0;0;0
74;Bank B;Maintenance Savings ARW 5.4;2010;Banking;Savings & Loans;Plan-driven;Document;New Development;356;4,42;169.822;;;;;;;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0
24;Bank B;"New functionality and maintenance on existing application; sub-project of a phased project; pahse 4";2008;Banking;Payments;Plan-driven;FOCUS;New Development;141;1,33;64.840;;;;;;;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
25;Bank B;"New functionality and maintenance on existing application; sub-project of a phased project; phase 5";2008;Banking;Payments;Plan-driven;FOCUS;New Development;173;1,28;81.880;;;;;;;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
27;Bank B;"New functionality and maintenance on existing application; sub-project of a phased project; phase 1- to 3";2008;Banking;Payments;Plan-driven;FOCUS;New Development;128;2,68;158.640;;;;;;;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
36;Bank B;Realisation CBT  ;2010;Banking;Finance & Risk;Plan-driven;JAVA;New Development;832;23,23;6.050.155;;;;;;;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
82;Bank B;Maintenance and new functionality release 4.0 on one application;2010;Banking;Finance & Risk;Plan-driven;JAVA;New Development;542;18,37;3.575.112;;;;;;;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
154;Bank A;Enhancements on an existing callcenter application;2008;Banking;Call Center Solutions;Plan-driven;JAVA;New Development;183;8,43;88.677;;;;;;;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0
180;Bank A;"Maintenance and new functionality release on an existing data warehouse application; Lobster MI";2009;Banking;Data Warehouse & BI;Plan-driven;JAVA;New Development;304;6,21;364.000;;;;;;;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
185;Bank A;"Maintenance and new functionality release on an existing mortgages application; phased project; Boost Stage 1";2010;Banking;Mortgages;Plan-driven;JAVA;New Development;434;14,79;856.410;;;;;;;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
186;Bank A;"Maintenance and new functionality project on an existing mortgages application; phased project; Boost Stage 2";2010;Banking;Mortgages;Plan-driven;JAVA;New Development;154;11,95;744.630;;;;;;;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
198;Bank A;Maintenance and new functionality release on an existing mortgages application;2010;Banking;Mortgages;Plan-driven;JAVA;New Development;184;16,10;1.365.000;;;;;;;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0
221;Bank A;"Maintenance and new functionality project on an existing client and accountmanagement application; part of a large customer migration program; Private Banking Customeradministration";2011;Banking;Client and Account Management;Plan-driven;JAVA;New Development;315;11,26;1.821.960;;;;;;;0;0;0;1;1;0;1;0;0;0;0;0;0;1;0;0;1;0;0
224;Bank A;"Maintenance and new functionality project on an existing client and accountmanagement application; part of a large customer migration program;  Payments Migration Debit Cards Business Wave 2";2010;Banking;Client and Account Management;Plan-driven;JAVA;New Development;24;16,00;172.580;;;;;;;0;0;0;1;1;0;1;0;0;0;0;0;0;1;0;0;1;0;0
278;Bank A;"Maintenance and new functionality project on an existing mortgages application; part of a large program; Mortgages Package Plateau 6 Data Migration";2011;Banking;Mortgages;Plan-driven;JAVA;New Development;56;12,95;340.000;;;;;;;0;0;0;1;1;0;1;0;0;0;1;0;0;0;0;1;0;0;0
313;Beltel;"Maintenance project on an existing CRM application; fixed price based on pre-project proposal; build and test performed by Indian supplier with strategic outsourcing agreement with Beltel; projectteam with members in Belgium and India; Business Discount";2011;Telecommunications;Client and Account Management;Plan-driven;JAVA;New Development;24;15,42;382.790;;;;;;;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0
316;Beltel;"Maintenance and new functionality project on an existing internet application; fixed price based on pre-project proposal; build and test performed by Indian supplier with strategic outsourcing agreement with Beltel; projectteam with members in Belgium and India; Medion Aldi-Talk selfcare";2013;Telecommunications;Internet & Mobile;Plan-driven;JAVA;New Development;238;4,13;140.000;;;;;;;0;0;1;0;0;1;0;0;0;1;0;0;0;0;0;0;0;1;0
